operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddCourseTest_73_-HTML1-BODY1-DIV1-DIV2-DIV2-UL1-LI2
SubtreeInsert,noneq,0.5,2.0,False,claroline,['none'],['none'],['assert'],SubtreeInsert_SearchUserTest_36_-HTML1-BODY1-DIV1-DIV2-DIV3
SubtreeDelete,noneq,2.5,2.0,False,claroline,"['missingElements', 'brokenEventHandling']","['codeError', 'missingInfo']",['execute'],SubtreeDelete_AddEmptyCourseTest_35_-HTML1-BODY1-DIV1-DIV2-FORM1-FIELDSET1-DIV1-DL1-DD4-SELECT1
StyleVisibility,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['assert'],StyleVisibility_EnrolPasswordCourseWrongPasswordUserTest_38_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-SPAN1-A1
SubtreeDelete,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['assert'],SubtreeDelete_AddCourseExerciseQuestionsTest_39_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-FIELDSET1-DL1-DD2-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD1-DIV1-SPAN1-TABLE2-TBODY1-TR1-TD18-DIV1
StyleVisibility,noneq,2.5,1.0,True,claroline,"['brokenLink', 'missingElements']","['missingInfo', 'wrongPage']",['find'],StyleVisibility_AddCourseExerciseTest_32_-HTML1-BODY1-DIV1-DIV2
StyleVisibility,noneq,2.5,2.0,False,claroline,"['brokenEventHandling', 'missingElements']","['codeError', 'missingInfo']",['execute'],StyleVisibility_AddCourseExerciseQuestionsTest_39_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-FIELDSET1-DL1-DD2-DIV1-SPAN1-TABLE1-TBODY1-TR2-TD1
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_SearchAllowedCourseTest_34_-HTML1-BODY1-DIV1-DIV1-DIV3
TextDelete,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['assert'],TextDelete_EnrolMultipleUsersTest_67_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-TABLE1-THEAD1-TR1-TH10
StyleColor,noneq,0.5,2.0,False,claroline,"['none', 'wrongColor']","['none', 'cosmetic']","['none', 'assert']",StyleColor_AddUserTest_33_-HTML1-BODY1-DIV1-DIV2-UL1-LI4-UL1
